客户ID,年龄,性别,收入,推广渠道,活动类型,广告消耗,点击率,转化率,网站访问量,人均页面浏览量,网站停留时间,社交分享量,邮件打开量,邮件点击量,历史购买次数,会员积分,广告平台,广告工具,是否转化,投放日期
8552,45,Female,100821.0,Referral,Conversion,3866.31,0.07,0.15,6,9.27,12.5,10,12,9,7,31,IsConfid,ToolConfid,1,2023-09-25
8553,49,Male,47260.0,PPC,Consideration,5800.88,0.19,0.08,28,4.02,12.89,15,5,2,8,3227,IsConfid,ToolConfid,1,2023-02-19
8554,44,Female,52879.0,Email,Conversion,6270.75,0.25,0.08,30,6.14,6.41,64,9,1,6,3226,IsConfid,ToolConfid,1,2023-10-14
8555,37,Male,36143.0,Social Media,Retention,8245.0,0.12,0.05,37,8.09,1.83,96,0,9,4,1287,IsConfid,ToolConfid,1,2023-03-08
8556,41,Female,69744.0,Social Media,Consideration,7390.87,0.14,0.12,7,9.88,14.51,70,8,7,3,1046,IsConfid,ToolConfid,1,2023-09-26
8557,29,Male,92949.0,Referral,Awareness,5735.98,0.04,0.16,30,6.51,10.59,66,4,9,3,4511,IsConfid,ToolConfid,1,2023-06-25
8558,42,Female,51578.0,Referral,Conversion,6724.91,0.05,0.1,36,7.49,2.98,70,11,8,6,4738,IsConfid,ToolConfid,1,2023-03-14
8559,52,Female,100262.0,Email,Awareness,7484.58,0.17,0.03,14,8.62,14.62,0,12,8,0,4651,IsConfid,ToolConfid,1,2023-04-20
8560,50,Male,84875.54,Referral,Awareness,1418.13,0.04,0.17,31,7.76,10.88,96,5,0,0,4789,IsConfid,ToolConfid,0,2023-08-01
8561,50,Male,112551.0,Referral,Retention,2084.51,0.07,0.02,25,9.48,1.81,70,15,8,7,325,IsConfid,ToolConfid,0,2023-04-21
8562,42,Female,83815.0,Social Media,Awareness,6916.98,0.08,0.1,47,3.07,2.98,3,11,7,5,4094,IsConfid,ToolConfid,1,2023-02-24
8563,60,Female,135926.0,PPC,Conversion,8519.21,0.14,0.06,48,9.17,13.05,81,3,7,0,3504,IsConfid,ToolConfid,1,2023-08-29
8564,54,Male,91519.0,SEO,Awareness,4151.7,0.02,0.19,10,2.86,14.33,36,2,2,4,4538,IsConfid,ToolConfid,0,2023-11-17
8565,42,Male,39178.0,Referral,Awareness,9800.91,0.15,0.15,22,6.09,5.79,13,1,7,7,4056,IsConfid,ToolConfid,1,2023-10-01
8566,20,Female,112526.0,Referral,Conversion,2239.11,0.17,0.12,33,5.71,6.49,78,9,1,0,1596,IsConfid,ToolConfid,1,2023-01-25
8567,18,Female,95857.0,Email,Awareness,4225.32,0.02,0.14,32,8.48,6.23,24,11,1,9,1490,IsConfid,ToolConfid,1,2023-04-11
8568,50,Female,80197.0,PPC,Retention,3847.38,0.19,0.11,16,4.59,12.61,81,3,3,7,1356,IsConfid,ToolConfid,1,2023-01-27
8569,57,Female,129365.0,PPC,Conversion,9309.93,0.25,0.04,32,2.29,7.07,3,14,6,2,1064,IsConfid,ToolConfid,1,2023-01-27
8570,27,Male,148075.0,SEO,Retention,2925.25,0.1,0.14,1,7.36,5.94,65,13,3,9,2461,IsConfid,ToolConfid,1,2023-08-25
8571,60,Female,56366.0,SEO,Awareness,4760.83,0.05,0.1,48,6.46,9.52,42,12,1,9,1449,IsConfid,ToolConfid,1,2023-01-19
8572,61,Female,72955.0,Referral,Consideration,1953.62,0.02,0.13,3,8.44,7.61,25,16,4,2,1315,IsConfid,ToolConfid,1,2023-09-25
8573,46,Male,119830.0,SEO,Retention,63126.43,0.17,0.02,11,7.83,8.23,83,4,7,3,1606,IsConfid,ToolConfid,1,2023-02-28
8574,30,Female,126213.0,Referral,Retention,6227.96,0.17,0.04,28,9.05,6.4,14,9,6,7,3538,IsConfid,ToolConfid,1,2023-11-20
8575,29,Female,120273.0,Social Media,Awareness,3109.99,0.08,0.12,41,8.55,7.18,5,9,6,9,4173,IsConfid,ToolConfid,1,2023-08-23
8576,48,Male,61911.0,Referral,Consideration,8126.84,0.25,0.1,41,7.17,1.02,36,16,8,7,1817,IsConfid,ToolConfid,1,2023-01-13
8577,63,Female,103422.0,SEO,Conversion,9121.98,0.22,0.05,46,5.19,13.92,42,18,4,1,2214,IsConfid,ToolConfid,1,2023-01-20
8578,19,Male,84875.54,Email,Consideration,822.28,0.09,0.06,42,1.18,0.94,41,11,3,1,1851,IsConfid,ToolConfid,0,2023-03-18
8579,42,Female,84875.54,SEO,Conversion,7588.6,0.23,0.13,38,3.77,11.71,12,1,9,4,1307,IsConfid,ToolConfid,1,2023-09-04
8580,42,Female,42791.0,PPC,Awareness,2627.9,0.08,0.02,41,7.55,4.82,15,2,8,0,2219,IsConfid,ToolConfid,0,2023-04-19
8581,52,Male,28301.0,Referral,Consideration,1835.74,0.21,0.09,18,1.54,2.13,41,14,0,7,1297,IsConfid,ToolConfid,1,2023-11-20
8582,40,Male,146866.0,Social Media,Awareness,6051.11,0.04,0.11,49,7.81,9.34,37,12,5,8,3613,IsConfid,ToolConfid,1,2023-11-17
8583,34,Female,120658.0,Referral,Conversion,7085.47,0.21,0.07,1,5.65,10.75,65,3,2,3,2277,IsConfid,ToolConfid,1,2023-11-01
8584,43,Female,123623.0,PPC,Consideration,4008.13,0.08,0.17,6,8.81,9.64,64,13,5,7,2814,IsConfid,ToolConfid,1,2023-06-29
8585,25,Female,118529.0,Referral,Conversion,487.82,0.18,0.02,45,6.94,8.85,4,12,6,1,1221,IsConfid,ToolConfid,1,2023-03-17
8586,46,Female,132824.0,Referral,Retention,9096.17,0.06,0.17,21,8.19,8.27,29,6,0,6,1477,IsConfid,ToolConfid,1,2023-06-30
8587,43,Female,55779.0,SEO,Conversion,7334.39,0.22,0.15,10,2.54,8.35,94,13,5,4,130,IsConfid,ToolConfid,1,2023-08-02
8588,27,Female,56894.0,Email,Retention,2789.5,0.03,0.09,32,2.56,13.05,42,5,7,9,3590,IsConfid,ToolConfid,1,2023-02-28
8589,43,Female,118917.0,PPC,Conversion,5018.95,0.06,0.19,19,2.9,1.81,31,4,4,2,4641,IsConfid,ToolConfid,1,2023-04-22
8590,51,Male,99618.0,Social Media,Conversion,375.15,0.06,0.14,4,4.0,2.78,66,12,4,2,1088,IsConfid,ToolConfid,1,2023-10-01
8591,42,Female,69250.0,Social Media,Awareness,3458.9,0.02,0.07,3,9.14,12.28,66,5,6,0,666,IsConfid,ToolConfid,0,2023-01-07
8592,58,Female,90994.0,Email,Retention,5273.1,0.23,0.1,13,7.97,4.89,41,16,7,0,1102,IsConfid,ToolConfid,1,2023-08-20
8593,24,Female,61770.0,Email,Awareness,5220.51,0.17,0.1,2,4.28,11.69,4,7,6,7,2090,IsConfid,ToolConfid,1,2023-07-01
8594,21,Female,42300.0,SEO,Awareness,2161.03,0.24,0.11,49,9.27,5.61,98,6,2,9,4828,IsConfid,ToolConfid,1,2023-07-28
8595,42,Female,138025.0,Social Media,Awareness,7789.8,0.26,0.02,17,8.01,13.92,85,13,5,4,3443,IsConfid,ToolConfid,1,2023-06-21
8596,62,Female,88235.0,PPC,Awareness,3058.74,0.01,0.18,26,6.9,4.58,95,2,8,7,2166,IsConfid,ToolConfid,1,2023-04-09
8597,28,Male,49485.0,Email,Conversion,5846.06,0.04,0.14,3,4.93,6.69,58,17,1,3,2855,IsConfid,ToolConfid,1,2023-01-22
8598,46,Male,140605.0,Email,Awareness,2788.07,0.17,0.13,2,6.86,2.8,22,14,8,6,2077,IsConfid,ToolConfid,1,2023-05-15
8599,53,Female,60285.0,Email,Awareness,4309.16,0.29,0.19,26,6.34,10.17,7,14,2,9,612,IsConfid,ToolConfid,1,2023-03-12
8600,42,Male,86555.0,PPC,Awareness,2154.39,0.2,0.2,27,8.04,6.34,67,18,2,4,1968,IsConfid,ToolConfid,1,2023-03-19
8601,38,Male,137713.0,Social Media,Conversion,6366.78,0.12,0.04,21,3.03,14.15,69,18,9,3,4950,IsConfid,ToolConfid,1,2023-01-09
8602,53,Male,52471.0,PPC,Retention,4313.29,0.05,0.15,41,8.97,0.73,90,12,1,4,4906,IsConfid,ToolConfid,1,2023-10-13
8603,27,Female,68671.0,PPC,Conversion,259.56,0.05,0.12,28,6.33,6.12,18,13,2,3,2693,IsConfid,ToolConfid,1,2023-02-09
8604,54,Female,138216.0,SEO,Conversion,4546.0,0.12,0.1,15,8.26,0.84,43,18,6,2,4401,IsConfid,ToolConfid,1,2023-03-18
8605,26,Female,40270.0,Email,Conversion,4764.23,0.22,0.2,34,4.13,5.27,92,18,2,7,3117,IsConfid,ToolConfid,1,2023-04-03
8606,41,Female,108151.0,Social Media,Retention,1913.94,0.02,0.17,18,4.53,6.01,37,16,0,5,4381,IsConfid,ToolConfid,1,2023-10-26
8607,52,Male,139870.0,SEO,Awareness,5891.92,0.26,0.14,29,9.44,4.24,43,11,3,0,887,IsConfid,ToolConfid,1,2023-07-21
8608,42,Female,147897.0,SEO,Awareness,6227.96,0.28,0.08,14,6.6,4.21,5,15,6,9,2333,IsConfid,ToolConfid,1,2023-12-24
8609,52,Female,33698.0,Referral,Retention,6578.76,0.27,0.14,4,3.86,4.27,2,18,5,5,768,IsConfid,ToolConfid,1,2023-03-02
8610,65,Female,134454.0,Referral,Retention,9528.71,0.27,0.33,30,1.74,4.36,95,12,9,7,1436,IsConfid,ToolConfid,1,2023-05-05
8611,53,Male,123882.0,Social Media,Consideration,5334.49,0.01,0.06,42,4.91,4.59,79,9,2,3,3800,IsConfid,ToolConfid,1,2023-06-22
8612,35,Male,92265.0,Social Media,Conversion,7895.05,0.29,0.1,30,8.64,12.84,32,7,0,1,3806,IsConfid,ToolConfid,1,2023-03-04
8613,42,Male,59729.0,Referral,Conversion,7555.11,0.12,0.17,8,3.26,1.07,65,16,7,3,3470,IsConfid,ToolConfid,1,2023-02-07
8614,56,Female,31171.0,Email,Conversion,9225.73,0.26,0.11,12,8.74,14.84,57,12,1,8,3216,IsConfid,ToolConfid,1,2023-07-03
8615,49,Female,84875.54,Social Media,Awareness,2218.78,0.06,0.15,42,2.45,4.58,25,1,4,6,4408,IsConfid,ToolConfid,0,2023-12-22
8616,41,Female,80684.0,PPC,Retention,8290.54,0.14,0.02,20,2.17,0.91,98,11,2,9,4686,IsConfid,ToolConfid,1,2023-01-17
8617,40,Female,75165.0,PPC,Consideration,6227.96,0.02,0.16,45,6.45,3.04,27,17,3,6,2715,IsConfid,ToolConfid,1,2023-02-16
8618,49,Female,69948.0,Email,Conversion,6227.96,0.02,0.01,30,8.24,14.16,42,18,2,1,1241,IsConfid,ToolConfid,1,2023-07-11
8619,54,Female,54725.0,Social Media,Consideration,3206.78,0.28,0.11,0,8.02,14.96,74,15,2,2,3923,IsConfid,ToolConfid,1,2023-04-02
8620,29,Male,39450.0,Referral,Conversion,9525.16,0.25,0.12,40,5.89,4.08,87,19,2,6,3614,IsConfid,ToolConfid,1,2023-08-24
8621,42,Male,33300.0,Referral,Conversion,6313.56,0.16,0.15,12,6.75,3.77,15,1,9,4,2354,IsConfid,ToolConfid,1,2023-01-07
8622,30,Female,145900.0,Referral,Awareness,3868.7,0.16,0.15,33,3.32,12.62,88,19,7,7,2419,IsConfid,ToolConfid,1,2023-05-10
8623,40,Male,104600.0,PPC,Conversion,7939.09,0.23,0.11,35,5.96,13.76,22,5,0,6,333,IsConfid,ToolConfid,1,2023-11-16
8624,42,Female,24441.0,Referral,Consideration,3114.29,0.11,0.02,15,2.87,9.93,58,13,1,3,2332,IsConfid,ToolConfid,1,2023-08-07
8625,52,Female,131315.0,Social Media,Consideration,1846.44,0.23,0.14,9,9.36,14.07,34,2,1,3,3085,IsConfid,ToolConfid,1,2023-07-19
8626,58,Female,39332.0,Social Media,Awareness,65823.59,0.15,0.11,37,7.1,14.28,88,18,8,7,4051,IsConfid,ToolConfid,1,2023-11-13
8627,47,Female,84875.54,Referral,Conversion,5705.5,0.19,0.07,40,6.08,11.52,40,7,6,8,3624,IsConfid,ToolConfid,1,2023-01-05
8628,34,Female,119405.0,SEO,Consideration,8274.89,0.29,0.05,33,3.22,5.56,96,7,9,7,2722,IsConfid,ToolConfid,1,2023-04-21
8629,42,Female,107404.0,Referral,Retention,4624.57,0.15,0.03,24,4.68,2.67,21,5,6,4,2820,IsConfid,ToolConfid,1,2023-03-23
8630,37,Male,61997.0,SEO,Awareness,8164.41,0.13,0.07,0,8.02,8.01,73,9,7,0,1983,IsConfid,ToolConfid,1,2023-01-14
8631,65,Male,106151.0,Email,Retention,3182.09,0.17,0.1,11,3.15,4.7,0,10,1,5,4046,IsConfid,ToolConfid,1,2023-01-09
8632,42,Male,33615.0,Email,Consideration,5796.15,0.27,0.1,21,2.16,2.22,45,16,9,2,1335,IsConfid,ToolConfid,1,2023-01-19
8633,39,Female,34732.0,Social Media,Retention,2163.88,0.3,0.12,21,3.77,6.21,21,10,0,3,1798,IsConfid,ToolConfid,1,2023-01-29
8634,30,Male,45367.0,Referral,Awareness,3915.91,0.17,0.08,47,8.15,7.46,31,18,5,9,1803,IsConfid,ToolConfid,1,2023-05-28
8635,36,Male,130670.0,Social Media,Retention,103075.72,0.11,0.18,1,8.95,10.1,86,12,2,0,1759,IsConfid,ToolConfid,1,2023-04-14
8636,42,Male,62738.0,Social Media,Consideration,2238.28,0.08,0.1,44,4.73,3.71,29,2,1,4,4884,IsConfid,ToolConfid,0,2023-09-27
8637,53,Female,131296.0,PPC,Retention,8121.37,0.02,0.09,7,8.03,13.09,86,5,2,7,4131,IsConfid,ToolConfid,1,2023-02-24
8638,29,Female,20981.0,Social Media,Retention,6227.96,0.22,0.02,32,3.99,3.19,42,1,3,1,4640,IsConfid,ToolConfid,0,2023-11-22
8639,58,Female,82881.0,PPC,Retention,441.45,0.08,0.12,4,5.58,14.96,11,0,4,5,3715,IsConfid,ToolConfid,1,2023-04-26
8640,36,Female,78609.0,Social Media,Conversion,1188.35,0.19,0.12,9,1.18,8.57,82,15,9,9,4530,IsConfid,ToolConfid,1,2023-06-05
8641,29,Female,107090.0,Email,Consideration,89810.49,0.28,0.12,2,7.41,2.63,70,8,9,7,4808,IsConfid,ToolConfid,1,2023-05-22
8642,26,Female,110855.0,SEO,Retention,2694.5,0.29,0.18,10,7.47,12.6,26,0,3,7,3622,IsConfid,ToolConfid,1,2023-01-04
8643,24,Female,101666.0,Social Media,Consideration,6576.04,0.01,0.15,29,1.9,4.18,25,17,7,6,4550,IsConfid,ToolConfid,1,2023-12-04
8644,45,Female,104351.0,SEO,Retention,7022.07,0.1,0.11,27,4.23,3.23,17,16,5,8,4369,IsConfid,ToolConfid,1,2023-02-27
8645,31,Male,28566.0,Referral,Awareness,3516.67,0.25,0.11,4,5.35,2.45,91,15,6,6,3130,IsConfid,ToolConfid,1,2023-06-15
8646,48,Female,111865.0,Social Media,Awareness,4801.7,0.17,0.07,11,7.97,8.49,74,5,3,9,3708,IsConfid,ToolConfid,1,2023-07-07
8647,42,Male,91885.0,Email,Awareness,4097.29,0.24,0.07,43,8.41,13.25,65,17,6,5,3870,IsConfid,ToolConfid,1,2023-10-30
8648,36,Female,84875.54,PPC,Retention,9478.76,0.26,0.13,44,7.47,13.51,80,13,4,5,4579,IsConfid,ToolConfid,1,2023-09-12
8649,64,Female,30728.0,Email,Consideration,3267.49,0.14,0.1,28,2.94,11.89,60,16,1,3,4034,IsConfid,ToolConfid,1,2023-10-14
8650,33,Male,125852.0,SEO,Awareness,1914.9,0.11,0.16,25,4.21,8.93,45,5,8,7,52,IsConfid,ToolConfid,1,2023-09-30
8651,22,Male,103911.0,PPC,Conversion,3719.37,0.14,0.08,28,3.23,8.18,28,10,1,1,3125,IsConfid,ToolConfid,1,2023-06-21
8652,52,Female,137616.0,Referral,Awareness,6728.21,0.2,0.05,28,6.73,5.92,31,1,1,9,829,IsConfid,ToolConfid,1,2023-04-16
8653,29,Male,107350.0,Email,Awareness,7003.89,0.12,0.07,13,6.83,1.14,14,2,2,1,2195,IsConfid,ToolConfid,1,2023-01-26
8654,42,Female,56214.0,Email,Conversion,9248.17,0.23,0.04,35,1.15,12.63,59,7,3,8,4376,IsConfid,ToolConfid,1,2023-12-17
8655,42,Female,141463.0,PPC,Awareness,8829.37,0.27,0.05,34,7.59,14.99,81,8,6,7,4445,IsConfid,ToolConfid,1,2023-02-07
8656,38,Female,77935.0,Email,Retention,2954.37,0.09,0.05,48,3.07,13.85,27,9,4,4,2738,IsConfid,ToolConfid,1,2023-03-18
8657,53,Female,107081.0,Email,Retention,4606.12,0.29,0.01,7,8.21,14.03,26,12,6,2,2964,IsConfid,ToolConfid,1,2023-07-30
8658,40,Female,65588.0,SEO,Awareness,7497.96,0.19,0.15,15,8.5,5.33,40,11,0,3,381,IsConfid,ToolConfid,1,2023-02-17
8659,33,Female,84875.54,Email,Consideration,9173.72,0.26,0.09,42,8.17,1.94,46,9,3,2,3247,IsConfid,ToolConfid,1,2023-08-12
8660,56,Female,88408.0,Email,Consideration,41255.2,0.04,0.01,4,4.67,13.14,32,13,1,4,3834,IsConfid,ToolConfid,0,2023-08-26
8661,62,Female,84875.54,Referral,Awareness,4499.97,0.08,0.08,15,4.13,11.58,43,5,5,7,4834,IsConfid,ToolConfid,1,2023-09-13
8662,42,Female,54103.0,PPC,Conversion,9004.83,0.1,0.11,40,4.92,6.16,49,1,1,2,3426,IsConfid,ToolConfid,1,2023-04-10
8663,56,Female,90949.0,Referral,Retention,3648.99,0.17,0.11,12,5.75,12.59,9,14,3,3,399,IsConfid,ToolConfid,1,2023-04-04
8664,31,Male,114805.0,SEO,Retention,4857.08,0.06,0.2,7,3.25,2.51,23,14,4,8,1878,IsConfid,ToolConfid,1,2023-07-07
8665,48,Female,69264.0,Referral,Retention,9054.59,0.26,0.11,25,9.38,9.94,33,3,7,3,955,IsConfid,ToolConfid,1,2023-11-19
8666,22,Female,40156.0,Social Media,Awareness,8042.21,0.13,0.19,4,5.54,14.32,90,10,4,4,1226,IsConfid,ToolConfid,1,2023-11-18
8667,52,Male,33423.0,PPC,Retention,2509.97,0.29,0.05,8,1.66,13.7,19,6,1,3,1675,IsConfid,ToolConfid,0,2023-11-21
8668,40,Male,58062.0,Email,Awareness,3315.47,0.18,0.07,37,9.97,11.53,24,14,9,5,196,IsConfid,ToolConfid,1,2023-02-01
8669,46,Female,62805.0,Referral,Awareness,43131.5,0.05,0.14,1,5.36,4.37,54,19,7,5,3560,IsConfid,ToolConfid,1,2023-08-15
8670,60,Male,148301.0,Referral,Consideration,9136.11,0.17,0.2,6,9.52,1.99,89,18,7,5,1189,IsConfid,ToolConfid,1,2023-03-08
8671,28,Male,21987.0,Email,Conversion,9989.44,0.3,0.17,29,4.51,5.21,42,13,9,4,3605,IsConfid,ToolConfid,1,2023-08-13
8672,35,Female,82979.0,Email,Conversion,7762.64,0.17,0.12,16,3.02,9.45,52,9,0,6,3152,IsConfid,ToolConfid,1,2023-06-28
8673,64,Female,57597.0,SEO,Conversion,4894.83,0.01,0.11,43,7.63,5.09,84,5,8,2,3820,IsConfid,ToolConfid,1,2023-09-30
8674,29,Male,103905.0,Referral,Retention,200.72,0.28,0.08,30,4.89,6.49,49,1,7,7,1322,IsConfid,ToolConfid,1,2023-04-13
8675,26,Female,47868.0,Referral,Consideration,7005.13,0.08,0.03,0,8.93,6.35,54,6,0,2,1226,IsConfid,ToolConfid,1,2023-05-26
8676,27,Female,96970.0,Social Media,Consideration,3954.68,0.21,0.07,27,5.18,5.37,12,2,8,2,582,IsConfid,ToolConfid,1,2023-10-01
8677,61,Female,83805.0,Social Media,Awareness,6366.57,0.16,0.06,29,4.05,13.89,48,7,8,3,4200,IsConfid,ToolConfid,1,2023-12-28
8678,34,Male,84875.54,Referral,Consideration,6106.27,0.1,0.08,46,9.7,5.14,96,17,7,1,2719,IsConfid,ToolConfid,1,2023-06-23
8679,55,Female,100084.0,Social Media,Awareness,4860.24,0.09,0.17,30,8.47,14.91,9,14,9,5,2703,IsConfid,ToolConfid,1,2023-07-09
8680,24,Female,36636.0,Referral,Consideration,9449.44,0.28,0.11,23,2.85,3.54,91,10,6,7,4825,IsConfid,ToolConfid,1,2023-11-26
8681,63,Female,77467.0,Referral,Awareness,329.15,0.27,0.11,30,5.4,13.15,96,9,5,9,1704,IsConfid,ToolConfid,1,2023-08-17
8682,30,Female,117919.0,SEO,Retention,85801.34,0.16,0.06,10,2.02,11.12,10,16,4,8,2229,IsConfid,ToolConfid,1,2023-03-29
8683,57,Female,127732.0,Social Media,Consideration,6227.96,0.08,0.07,41,1.97,10.2,77,17,5,3,340,IsConfid,ToolConfid,1,2023-03-25
8684,59,Male,37007.0,Referral,Conversion,7166.53,0.04,0.08,15,8.68,6.96,83,0,0,3,1355,IsConfid,ToolConfid,1,2023-09-14
8685,26,Female,121460.0,Social Media,Awareness,6784.67,0.17,0.06,8,9.39,12.34,99,1,0,0,1416,IsConfid,ToolConfid,0,2023-10-25
8686,42,Male,115747.0,SEO,Consideration,201.36,0.16,0.11,29,7.65,7.64,19,4,8,8,942,IsConfid,ToolConfid,1,2023-11-04
8687,44,Female,96864.0,Referral,Consideration,2924.85,0.1,0.09,11,9.9,2.47,71,9,5,1,3772,IsConfid,ToolConfid,1,2023-07-15
8688,19,Female,23389.0,Email,Awareness,1972.01,0.02,0.03,46,1.41,4.57,78,11,2,3,3194,IsConfid,ToolConfid,0,2023-08-16
8689,22,Male,138105.0,Email,Consideration,1753.16,0.14,0.1,15,3.98,3.15,96,12,8,6,1162,IsConfid,ToolConfid,1,2023-06-14
8690,46,Female,144535.0,Social Media,Conversion,7311.92,0.23,0.05,32,2.19,8.76,82,15,2,7,1162,IsConfid,ToolConfid,1,2023-05-01
8691,54,Male,29458.0,Referral,Awareness,2471.56,0.27,0.05,5,8.04,10.0,47,2,8,9,3536,IsConfid,ToolConfid,1,2023-07-18
8692,55,Male,88481.0,SEO,Awareness,4799.9,0.18,0.06,44,9.01,5.37,75,3,4,1,112,IsConfid,ToolConfid,1,2023-04-20
8693,36,Female,94888.0,PPC,Awareness,6227.96,0.22,0.03,0,5.02,1.07,16,15,0,5,3553,IsConfid,ToolConfid,0,2023-06-15
8694,25,Male,96022.0,PPC,Awareness,5844.31,0.12,0.15,12,8.46,10.05,32,9,4,0,1943,IsConfid,ToolConfid,1,2023-07-05
8695,65,Female,61400.0,PPC,Conversion,7233.68,0.17,0.16,36,8.63,1.4,19,13,9,9,4713,IsConfid,ToolConfid,1,2023-06-23
8696,62,Male,87628.0,Email,Conversion,6227.96,0.22,0.08,34,2.26,14.5,45,18,1,6,3575,IsConfid,ToolConfid,1,2023-03-12
8697,18,Female,71857.0,SEO,Awareness,6069.91,0.22,0.14,43,4.39,13.37,30,4,1,1,4383,IsConfid,ToolConfid,1,2023-10-04
8698,39,Female,84367.0,Email,Conversion,8266.06,0.13,0.08,25,2.69,12.55,50,18,0,5,614,IsConfid,ToolConfid,1,2023-09-14
8699,42,Female,56527.0,Social Media,Conversion,1032.82,0.17,0.04,41,7.03,5.83,82,10,9,9,921,IsConfid,ToolConfid,1,2023-01-12
8700,34,Female,90648.0,PPC,Conversion,7135.64,0.28,0.09,8,4.49,11.3,18,16,3,2,4497,IsConfid,ToolConfid,1,2023-09-01
8701,24,Female,36937.0,SEO,Awareness,3299.13,0.19,0.12,16,7.01,1.16,61,6,3,8,1739,IsConfid,ToolConfid,1,2023-09-08
8702,42,Male,84875.54,PPC,Conversion,1314.23,0.2,0.25,37,8.88,1.8,43,3,4,3,3817,IsConfid,ToolConfid,1,2023-12-07
8703,62,Male,131562.0,Email,Awareness,5501.98,0.24,0.13,45,4.71,7.67,76,14,3,1,1114,IsConfid,ToolConfid,1,2023-10-11
8704,21,Female,21112.0,Email,Conversion,2340.0,0.04,0.15,34,9.75,9.01,37,3,1,1,3444,IsConfid,ToolConfid,1,2023-08-25
8705,53,Male,55545.0,Email,Awareness,8231.48,0.16,0.17,24,4.68,11.62,48,15,4,7,2657,IsConfid,ToolConfid,1,2023-11-26
8706,23,Female,117276.0,PPC,Consideration,524.67,0.29,0.03,49,2.92,4.82,64,18,7,1,3392,IsConfid,ToolConfid,0,2023-03-09
8707,48,Male,109017.0,SEO,Consideration,1076.66,0.11,0.01,6,5.76,8.37,10,1,5,9,846,IsConfid,ToolConfid,0,2023-01-10
8708,36,Female,68355.0,SEO,Conversion,5257.86,0.1,0.02,40,4.59,1.41,26,10,4,1,2858,IsConfid,ToolConfid,1,2023-09-21
8709,61,Female,95561.0,Social Media,Retention,5930.52,0.18,0.19,46,2.13,7.33,57,18,6,6,666,IsConfid,ToolConfid,1,2023-07-25
8710,56,Male,54082.0,PPC,Retention,7325.88,0.07,0.16,30,1.21,10.23,63,13,0,0,3266,IsConfid,ToolConfid,1,2023-05-25
8711,44,Female,138181.0,Social Media,Consideration,2666.68,0.17,0.17,31,7.7,14.85,64,11,5,0,4218,IsConfid,ToolConfid,1,2023-06-24
8712,27,Male,80482.0,Social Media,Conversion,8433.43,0.06,0.11,47,9.4,11.64,14,18,1,5,1023,IsConfid,ToolConfid,1,2023-06-06
8713,43,Female,99098.0,Social Media,Conversion,9536.11,0.18,0.11,18,4.96,14.93,81,9,4,9,501,IsConfid,ToolConfid,1,2023-05-30
8714,36,Male,31304.0,Social Media,Conversion,5040.49,0.18,0.07,16,1.59,7.72,88,7,9,7,4730,IsConfid,ToolConfid,1,2023-04-10
8715,56,Female,142978.0,Email,Retention,7629.26,0.13,0.17,5,7.67,6.78,0,16,3,9,830,IsConfid,ToolConfid,1,2023-09-04
8716,20,Female,76625.0,Social Media,Consideration,5296.0,0.12,0.17,24,8.8,12.6,18,7,6,7,4274,IsConfid,ToolConfid,1,2023-06-20
8717,62,Male,92551.0,SEO,Conversion,787.72,0.08,0.08,32,3.91,7.2,55,8,8,6,732,IsConfid,ToolConfid,1,2023-11-17
8718,30,Male,64885.0,Social Media,Consideration,3328.5,0.11,0.07,18,3.0,11.46,63,13,8,3,1864,IsConfid,ToolConfid,1,2023-04-28
8719,42,Female,144359.0,Email,Consideration,966.12,0.15,0.15,14,4.03,14.92,33,14,9,5,1294,IsConfid,ToolConfid,1,2023-01-21
8720,45,Male,91246.0,Referral,Awareness,9889.9,0.08,0.01,34,9.17,11.01,63,15,0,8,3456,IsConfid,ToolConfid,1,2023-09-12
8721,37,Female,32588.0,Referral,Retention,2367.36,0.24,0.17,48,4.76,0.71,9,7,6,3,2596,IsConfid,ToolConfid,1,2023-12-20
8722,45,Female,135910.0,Referral,Consideration,6395.41,0.22,0.09,31,6.89,3.11,75,2,6,7,4617,IsConfid,ToolConfid,1,2023-09-02
8723,25,Male,148658.0,PPC,Conversion,2915.02,0.09,0.09,37,1.67,4.51,59,1,4,7,4769,IsConfid,ToolConfid,0,2023-10-02
8724,58,Female,40967.0,SEO,Retention,6227.96,0.04,0.14,35,3.53,12.42,38,0,7,5,4840,IsConfid,ToolConfid,1,2023-10-19
8725,56,Female,107440.0,Email,Conversion,2182.98,0.01,0.13,31,3.05,14.02,65,7,9,6,4810,IsConfid,ToolConfid,1,2023-03-19
8726,18,Female,84875.54,Referral,Conversion,7874.17,0.18,0.11,31,1.56,9.92,31,5,3,0,687,IsConfid,ToolConfid,1,2023-11-13
8727,20,Female,78348.0,Email,Conversion,1197.03,0.07,0.19,39,2.09,1.78,50,10,0,1,1973,IsConfid,ToolConfid,0,2023-09-27
8728,30,Male,84875.54,Email,Conversion,8961.99,0.01,0.2,35,4.75,7.74,25,2,3,9,3693,IsConfid,ToolConfid,1,2023-05-03
8729,45,Male,148121.0,PPC,Awareness,8420.17,0.11,0.11,33,6.02,12.96,56,13,1,9,2627,IsConfid,ToolConfid,1,2023-03-14
